time,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2014-01-01,0.051,0.048,0.045,0.048,0.044000000000000004,0.035,0.031,0.038,0.053,0.057,0.044000000000000004,0.07
2014-02-01,0.079,0.078,0.081,0.092,0.068,0.068,0.064,0.081,0.08800000000000001,0.096,0.086,0.09699999999999999
2014-03-01,0.156,0.161,0.134,0.17300000000000001,0.156,0.141,0.127,0.132,0.154,0.162,0.147,0.177
2014-04-01,0.174,0.179,0.159,0.18,0.16899999999999998,0.163,0.138,0.15,0.174,0.179,0.16699999999999998,0.195
2014-05-01,0.187,0.195,0.184,0.19399999999999998,0.193,0.174,0.158,0.168,0.18899999999999997,0.198,0.187,0.222
2014-06-01,0.221,0.231,0.218,0.22399999999999998,0.23399999999999999,0.2,0.184,0.204,0.225,0.225,0.21899999999999997,0.22399999999999998
2014-07-01,0.168,0.163,0.196,0.193,0.177,0.165,0.149,0.18600000000000003,0.19,0.193,0.19399999999999998,0.21600000000000003
2014-08-01,0.187,0.174,0.162,0.182,0.166,0.151,0.141,0.162,0.18100000000000002,0.193,0.16699999999999998,0.228
2014-09-01,0.16899999999999998,0.18100000000000002,0.168,0.188,0.161,0.139,0.14300000000000002,0.159,0.188,0.17600000000000002,0.172,0.18
2014-10-01,0.121,0.11,0.09699999999999999,0.113,0.09300000000000001,0.083,0.076,0.091,0.13699999999999998,0.141,0.10400000000000001,0.14
2014-11-01,0.061,0.062,0.053,0.062,0.043,0.049,0.043,0.051,0.071,0.07200000000000001,0.057999999999999996,0.073
2014-12-01,0.040999999999999995,0.027000000000000003,0.036000000000000004,0.033,0.017,0.024,0.021,0.032,0.052000000000000005,0.055999999999999994,0.037000000000000005,0.07400000000000001
2015-01-01,0.055999999999999994,0.038,0.046,0.047,0.028999999999999998,0.034,0.027999999999999997,0.042,0.063,0.07400000000000001,0.049,0.096
