time,Île-de-France
2014-01-01 00:00:00+00:00,18051
2014-01-01 01:00:00+00:00,17179
2014-01-01 02:00:00+00:00,16365
2014-01-01 03:00:00+00:00,15703
2014-01-01 04:00:00+00:00,15549
2014-01-01 05:00:00+00:00,15614
2014-01-01 06:00:00+00:00,15679
2014-01-01 07:00:00+00:00,15958
2014-01-01 08:00:00+00:00,15895
2014-01-01 09:00:00+00:00,16587
2014-01-01 10:00:00+00:00,17374
2014-01-01 11:00:00+00:00,18160
2014-01-01 12:00:00+00:00,18395
2014-01-01 13:00:00+00:00,18330
2014-01-01 14:00:00+00:00,18035
2014-01-01 15:00:00+00:00,17864
2014-01-01 16:00:00+00:00,18514
2014-01-01 17:00:00+00:00,19437
2014-01-01 18:00:00+00:00,19980
2014-01-01 19:00:00+00:00,19843
2014-01-01 20:00:00+00:00,18996
2014-01-01 21:00:00+00:00,18299
2014-01-01 22:00:00+00:00,19223
2014-01-01 23:00:00+00:00,18070
2014-01-02 00:00:00+00:00,16357
2014-01-02 01:00:00+00:00,15288
2014-01-02 02:00:00+00:00,14552
2014-01-02 03:00:00+00:00,14339
2014-01-02 04:00:00+00:00,14772
2014-01-02 05:00:00+00:00,16014
2014-01-02 06:00:00+00:00,17711
2014-01-02 07:00:00+00:00,19485
2014-01-02 08:00:00+00:00,20211
2014-01-02 09:00:00+00:00,20737
2014-01-02 10:00:00+00:00,20894
2014-01-02 11:00:00+00:00,21107
2014-01-02 12:00:00+00:00,20724
2014-01-02 13:00:00+00:00,20482
2014-01-02 14:00:00+00:00,19903
2014-01-02 15:00:00+00:00,19839
2014-01-02 16:00:00+00:00,20742
2014-01-02 17:00:00+00:00,21912
2014-01-02 18:00:00+00:00,22343
2014-01-02 19:00:00+00:00,21648
2014-01-02 20:00:00+00:00,19956
2014-01-02 21:00:00+00:00,18839
2014-01-02 22:00:00+00:00,19649
2014-01-02 23:00:00+00:00,18355
2014-01-03 00:00:00+00:00,16633
2014-01-03 01:00:00+00:00,15480
2014-01-03 02:00:00+00:00,14737
2014-01-03 03:00:00+00:00,14413
2014-01-03 04:00:00+00:00,14740
2014-01-03 05:00:00+00:00,15950
2014-01-03 06:00:00+00:00,17615
2014-01-03 07:00:00+00:00,19346
2014-01-03 08:00:00+00:00,19867
